num,us,ms,count,enable,1k,Gx,Gy,Gz
388,38,-173,-74,-865,-111,5267,-261,94
389,38,-173,-73,-866,-111,5266,-262,93
390,38,-173,-73,-866,-112,5266,-262,93
391,39,-172,-73,-866,-113,5265,-262,93
392,39,-172,-73,-867,-113,5267,-261,93
393,39,-171,-72,-865,-114,5266,-261,93
394,39,-172,-72,-865,-115,5266,-261,93
395,39,-173,-72,-866,-116,5266,-261,93
396,39,-172,-73,-866,-115,5266,-262,94
397,39,-172,-73,-866,-114,5267,-261,93
398,39,-173,-73,-866,-114,5267,-261,93
399,39,-172,-73,-866,-114,5268,-261,92
400,39,-173,-73,-866,-115,5268,-260,93
401,40,-172,-73,-866,-114,5269,-262,94
402,40,-172,-74,-866,-114,5270,-262,93
403,40,-173,-74,-866,-115,5269,-260,93
404,40,-174,-73,-866,-116,5270,-260,93
405,40,-173,-73,-866,-116,5272,-261,93
406,40,-172,-73,-865,-116,5272,-258,93
407,40,-174,-73,-866,-115,5272,-260,93
408,40,-174,-73,-865,-117,5271,-259,93
409,40,-173,-73,-866,-116,5274,-259,93
410,40,-173,-73,-866,-118,5275,-259,93
411,41,-173,-74,-867,-120,5275,-258,92
412,41,-173,-73,-865,-117,5275,-259,95
413,41,-174,-74,-865,-118,5271,-260,95
414,41,-174,-74,-866,-119,5273,-258,94
415,41,-174,-73,-865,-118,5270,-259,95
416,41,-173,-74,-867,-119,5272,-260,94
417,41,-173,-73,-865,-119,5272,-258,95
418,41,-172,-73,-865,-118,5272,-258,94
419,41,-173,-74,-867,-118,5273,-261,94
420,41,-173,-74,-865,-119,5272,-259,95
421,42,-173,-72,-865,-119,5269,-258,93
422,42,-174,-74,-865,-121,5276,-257,91
423,42,-173,-73,-866,-121,5274,-257,91
424,42,-173,-73,-865,-120,5273,-260,94
425,42,-172,-74,-867,-121,5273,-260,94
426,42,-173,-74,-866,-120,5272,-259,93
427,42,-173,-74,-866,-121,5271,-259,94
428,42,-172,-74,-866,-120,5273,-259,93
429,42,-172,-73,-865,-120,5270,-258,93
430,42,-173,-73,-865,-120,5273,-259,93
431,43,-173,-74,-867,-120,5275,-258,92
432,43,-174,-74,-866,-120,5272,-258,92
433,43,-173,-74,-866,-122,5274,-259,93
434,43,-173,-74,-865,-121,5269,-259,93
435,43,-173,-74,-865,-120,5273,-259,92
436,43,-173,-74,-864,-120,5273,-258,92
437,43,-174,-75,-866,-120,5275,-259,93
438,43,-173,-74,-865,-121,5274,-258,92
439,43,-173,-74,-865,-120,5276,-257,92
440,43,-173,-75,-866,-121,5273,-258,92
441,44,-175,-74,-866,-121,5273,-258,91
442,44,-174,-74,-865,-121,5276,-257,91
443,44,-173,-73,-866,-121,5274,-257,91
444,44,-173,-73,-866,-121,5274,-257,93
445,44,-174,-74,-866,-121,5274,-257,91
446,44,-174,-75,-866,-121,5276,-257,92
447,44,-173,-74,-865,-122,5275,-258,92
448,44,-174,-74,-864,-121,5276,-260,92
449,44,-172,-74,-865,-122,5274,-257,92
450,44,-173,-73,-865,-122,5281,-255,92
451,45,-172,-73,-864,-122,5280,-256,92
452,45,-173,-72,-865,-121,5277,-255,93
453,45,-172,-73,-864,-123,5282,-256,92
454,45,-174,-74,-865,-123,5283,-258,91
455,45,-173,-74,-865,-121,5284,-258,92
456,45,-173,-73,-865,-124,5285,-257,91
457,45,-173,-73,-866,-124,5286,-258,92
458,45,-172,-74,-865,-123,5286,-258,90
459,45,-172,-74,-865,-123,5287,-256,93
460,45,-171,-74,-865,-123,5288,-255,91
461,46,-173,-74,-865,-123,5286,-256,91
462,46,-172,-73,-865,-123,5287,-254,92
463,46,-172,-74,-865,-123,5286,-256,91
464,46,-174,-74,-864,-124,5288,-256,92
465,46,-172,-74,-865,-122,5286,-254,92
466,46,-173,-74,-865,-123,5285,-256,91
467,46,-173,-74,-865,-123,5286,-256,92
468,46,-173,-74,-865,-123,5288,-256,92
469,46,-174,-73,-867,-123,5291,-256,92
470,46,-173,-74,-865,-123,5288,-256,91
471,47,-173,-72,-865,-124,5291,-256,90
472,47,-173,-73,-866,-123,5287,-254,91
473,47,-173,-74,-866,-123,5289,-257,91
474,47,-173,-75,-866,-123,5288,-256,92
475,47,-173,-74,-866,-123,5291,-257,92
476,47,-172,-74,-864,-124,5289,-256,92
477,47,-173,-73,-865,-124,5288,-255,92
478,47,-173,-73,-866,-123,5291,-255,92
479,47,-173,-74,-866,-124,5289,-255,92
480,47,-173,-74,-865,-123,5291,-255,91
481,48,-172,-73,-866,-123,5290,-255,92
482,48,-173,-75,-867,-124,5290,-254,92
483,48,-173,-74,-866,-124,5290,-254,91
484,48,-172,-73,-864,-123,5288,-256,91
485,48,-172,-74,-864,-124,5291,-255,91
486,48,-173,-74,-866,-123,5289,-255,93
487,48,-173,-73,-866,-125,5288,-254,92
488,48,-173,-72,-865,-124,5289,-254,91
489,48,-173,-73,-866,-124,5286,-253,91
490,48,-172,-73,-867,-126,5289,-256,92
491,49,-173,-72,-865,-124,5291,-256,90
492,49,-173,-73,-866,-123,5287,-254,91
493,49,-172,-73,-866,-124,5290,-255,90
494,49,-174,-73,-866,-124,5286,-254,92
495,49,-173,-72,-866,-124,5289,-255,91
496,49,-172,-73,-867,-124,5290,-256,92
497,49,-173,-73,-867,-124,5290,-255,92
498,49,-173,-72,-866,-125,5292,-253,91
499,49,-173,-75,-866,-125,5289,-254,91
500,49,-173,-74,-866,-125,5290,-254,91
501,50,-172,-73,-866,-124,5290,-255,91
502,50,-171,-73,-865,-124,5295,-252,91
503,50,-172,-74,-867,-123,5294,-254,91
504,50,-172,-73,-866,-123,5295,-254,92
505,50,-171,-72,-865,-125,5293,-254,92
506,50,-171,-73,-866,-124,5293,-252,91
507,50,-171,-73,-866,-123,5292,-252,91
508,50,-172,-73,-866,-123,5292,-253,91
509,50,-172,-72,-866,-123,5296,-253,91
510,50,-171,-74,-866,-121,5292,-253,91
511,51,-172,-74,-867,-123,5294,-252,92
512,51,-172,-72,-865,-122,5298,-251,91
513,51,-172,-74,-866,-121,5297,-254,92
